"Código SIEX";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"2";"Realizado en la explotación";26/12/2023;;
"3";"Realizado en un centro de acondicionamiento";26/12/2023;;
"4";"Adquisición de semilla tratada con producto autorizado en España";26/12/2023;;
"5";"Adquisición de semilla tratada fuera de España";26/12/2023;;
