"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"456";"8.66.2.2";"Roya del ciruelo, Tranzschelia pruni-spinosae";"Tranzschelia pruni-spinosae";"TRANPS";"También conocido comúnmente como roya de los frutales de hueso.";03/07/2024;03/07/2024;
"457";"8.60.3";"Rhynchosporium spp.";"Rhynchosporium spp.";"1RHYNG";;03/07/2024;03/07/2024;
"458";"8.60.3.1";"Rincosporiosis de la cebada, Rhynchosporium graminicola";"Rhynchosporium graminicola";"RHYNGR";"También descrito como Rh. commune.";03/07/2024;03/07/2024;
"459";"8.60.3.2";"Rincosporiosis, escaldado de cereales, Rhynchosporium secalis";"Rhynchosporium secalis";"RHYNSE";;03/07/2024;03/07/2024;
"460";"8.67";"Rhytismataceae";"Rhytismataceae";"1RHYTF";;03/07/2024;03/07/2024;
"461";"8.67.1";"Lophodermium spp.";"Lophodermium spp.";"1LOPHG";;03/07/2024;03/07/2024;
"462";"8.67.1.1";"Caída prematura de acículas del pino, Lophodermium seditiosum";"Lophodermium seditiosum";"LOPHSE";;03/07/2024;03/07/2024;
"463";"8.68";"Rutstroemiaceae";"Rutstroemiaceae";"1RUTSF";;03/07/2024;03/07/2024;
"464";"8.68.1";"Mancha de dólar o esclerotinia del césped, Clarireedia homoeocarpa";"Clarireedia homoeocarpa";"SCLEHO";"También descrito como Sclerotinia homoeocarpa.";03/07/2024;03/07/2024;
"465";"8.69";"Saccotheciaceae";"Saccotheciaceae";"1SACTF";;03/07/2024;03/07/2024;
"466";"8.69.1";"Aureobasidium spp.";"Aureobasidium spp.";"1AUREG";;03/07/2024;03/07/2024;
"467";"8.69.1.1";"Mancha foliar, antracnosis del maíz, Aureobasidium zeae";"Aureobasidium zeae";"KABAZE";"También descrito como Kabatiella zeae.";03/07/2024;03/07/2024;
"468";"8.70";"Saprolegniaceae";"Saprolegniaceae";"1SAPRF";;03/07/2024;03/07/2024;
"469";"8.70.1";"Aphanomyces spp.";"Aphanomyces spp.";"1APHAG";;03/07/2024;03/07/2024;
"470";"8.70.1.1";"Pie negro, podredumbre negra de la remolacha, Aphanomyces cochlioides";"Aphanomyces cochlioides";"APHACO";;03/07/2024;03/07/2024;
"471";"8.71";"Sclerotiniaceae";"Sclerotiniaceae";"1SCLEF";;03/07/2024;03/07/2024;
"472";"8.71.1";"Botrytis spp.";"Botrytis spp.";"1BOTRG";;03/07/2024;03/07/2024;
"473";"8.71.1.1";"Podredumbre gris, Botrytis cinerea";"Botrytis cinerea";"BOTRCI";;03/07/2024;03/07/2024;
"474";"8.71.1.2";"Mancha de chocolate de las habas, Botrytis fabae";"Botrytis fabae";"BOTRFA";;03/07/2024;03/07/2024;
"475";"8.71.1.3";"Podredumbre de la cebolla, Botryotinia squamosa";"Botryotinia squamosa";"SCLESQ";"También descrito como Botrytis squamosa.";03/07/2024;03/07/2024;
"476";"8.71.2";"Monilia, Monilinia spp.";"Monilinia spp.";"1MONIG";;03/07/2024;03/07/2024;
"477";"8.71.3";"Sclerotinia spp.";"Sclerotinia spp.";"1SCLEG";;03/07/2024;03/07/2024;
"478";"8.71.3.1";"Podredumbre de la lechuga, Sclerotinia minor";"Sclerotinia minor";"SCLEMI";;03/07/2024;03/07/2024;
"479";"8.71.3.2";"Podredumbre blanca, Sclerotinia sclerotiorum";"Sclerotinia sclerotiorum";"SCLESC";;03/07/2024;03/07/2024;
"480";"8.71.3.3";"Mal del cuello de la alfalfa, Sclerotinia trifoliorum";"Sclerotinia trifoliorum";"SCLETR";;03/07/2024;03/07/2024;
"481";"8.71.4";"Stromatinia spp.";"Stromatinia spp.";"1STMTG";;03/07/2024;03/07/2024;
"482";"8.71.4.1";"Podredumbre blanca del ajo, Stromatinia cepivora";"Stromatinia cepivora";"SCLOCE";"También descrito como Sclerotium cepivorum. También conocido comúnmente como podredumbre blanca de la cebolla.";03/07/2024;03/07/2024;
"483";"8.72";"Stereaceae";"Stereaceae";"1STERF";;03/07/2024;03/07/2024;
"484";"8.72.1";"Stereum spp.";"Stereum spp.";"1STERG";;03/07/2024;03/07/2024;
"485";"8.72.1.1";"Yesca de la vid, Stereum hirsutum";"Stereum hirsutum";"STERHI";;03/07/2024;03/07/2024;
"486";"8.73";"Streptomycetaceae";"Streptomycetaceae";"1STRMF";;03/07/2024;03/07/2024;
"487";"8.73.1";"Streptomyces spp.";"Streptomyces spp.";"1STREG";;03/07/2024;03/07/2024;
"488";"8.74";"Taphrinaceae";"Taphrinaceae";"1TAPHF";;03/07/2024;03/07/2024;
"489";"8.74.1";"Abolladura, lepra, Taphrina spp.";"Taphrina spp.";"1TAPHG";;03/07/2024;03/07/2024;
"490";"8.74.1.1";"Abolladura, lepra del melocotonero, Taphrina deformans";"Taphrina deformans";"TAPHDE";"También conocido comúnmente como lepra del melocotonero y del almendro.";03/07/2024;03/07/2024;
"491";"8.74.1.2";"Escoba de brujas de la encina, Taphrina kruchii";"Taphrina kruchii";"TAPHSP, T.kruchii";;03/07/2024;03/07/2024;
"492";"8.74.1.3";"Ciruelas del diablo, lepra del ciruelo, Taphrina pruni";"Taphrina pruni";"TAPHPR";;03/07/2024;03/07/2024;
