"Código SIEX";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Cadmio (Cd)";13/04/2023;;
"2";"Cobre (Cu)";13/04/2023;;
"3";"Plomo (Pb)";13/04/2023;;
"4";"Níquel (Ni)";13/04/2023;;
"5";"Zinc (Zn)";13/04/2023;;
"6";"Mercurio (Hg)";13/04/2023;;
"7";"Cromo total (Cr)";13/04/2023;;
