"Código UNE";"Descripción"
"100302000";"Mezcladores"
"100303000";"Trituradores y mezcladores combinados"
"100306000";"Empastilladoras (prensas, aglomeradoras)"
"100307000";"Picadores de pacas"
"100308000";"Picadoras"
"100309000";"Cortadoras-picadoras de raíces"
"100311010";"Desensiladoras de silos trinchera"
"100402000";"Distribuidores de alimentos líquidos"
"100403000";"Remolques para la preparación y distribución de alimentos"
"100404000";"Remolques distribuidores de piensos"
"100405000";"Esparcidores-distribuidores de paja y forraje"
"100501000";"Distribuidores de alimentos voluminosos"
"100502000";"Distribuidores de concentrados"
"100503010";"Unifeed autopropulsados"
"100503020";"Unifeed remolcados"
"100900000";"Otros equipos para producción animal"
"1010100_88";"Incubadoras"
"1010300_88";"Equipos de iluminación"
"1020200_88";"Aguijones eléctricos"
"10203021";"Tractores de ruedas no articulados de doble tracción ancho normal"
"10203030";"Tractores de ruedas no articulados de más de dos ejes motrices"
"1020600_88";"Une desconocido"
"1030100_88";"Molinos y trituradores"
"1030200_88";"Mezcladoras de piensos"
"1030300_88";"Trituradoras y mezcladoras combinadas de piensos"
"1030400_88";"Equipos para incorporación de aditivos"
"1030500_88";"Equipos para preparación de alimentos líquidos"
"1030700_88";"Picadoras de pacas"
"1030800_88";"Picadoras de forraje en granja"
"1030900_88";"Cortadoras-picadoras de raíces"
"1031000_88";"Cocedoras"
"1031100_88";"Cámaras para tratamiento de paja con amoniaco"
"1031200_88";"Equipos para producción de forraje hidropónico"
"1050100_88";"Distribuidores de alimentos voluminosos"
"1050200_88";"Distribuidores de concentrados"
"1050300_88";"Equipos de desensilado, mezcla, transporte y distribución"
"1050400_88";"Controladores electrónicos de dosific.individ.alimentos"
"1070100_88";"Equipos para identificación de animales"
"1070200_88";"Equipos zoosanitarios"
"1090000_88";"Otros equipos para producción animal"
"110400000";"Equipos para limpieza de granjas"
"110702000";"Chasis para remolques"
"110800000";"Grupos electrógenos"
"110900000";"Otros equipos de la explotación agraria"
"1110000_88";"Equipos e instrumentos de medida y registro"
"111200000";"Sistemas de recolección robotizada"
"1140000_88";"Equipos para limpieza y mantenimiento de locales"
"1150000_88";"Equipos para evac.y tratam.de deyec.y residuo"
"1190000_88";"Otros equipos de la explotación agraria"
