"Código UNE";"Descripción"
"0240900_88";"Zanjadora-colocadoras de drenes"
"0241000_88";"Arados topo"
"0250100_88";"Excavadoras"
"0250200_88";"Volquetes autopropulsados (dumpers)"
"0250300_88";"Motoniveladoras"
"0250400_88";"Rodillos compactadores"
"0250500_88";"Mezcladoras de suelo para caminos"
"0250600_88";"Estabilizadores de suelo"
"0250700_88";"Mezcladoras portátiles (hormigoneras)"
"0290000_88";"Otros equipos para prepar.y conserv.del suelo"
"030100000";"Aireadores de césped"
"030101000";"Arados de desfonde"
"030102000";"Subsoladores"
"030103000";"Arados rotativos accionados"
"030104010";"Arados fijos de reja y vertedera"
"030104020";"Arados reversibles de reja y vertedera"
"030105000";"Arados de discos"
"030106000";"Cavadoras"
"030107000";"Arados de cincel (chisels)"
"030108000";"Rotocultores"
"030109000";"Arados rastrojeros"
"030110000";"Rodillos mezcladores"
"030201000";"Gradas rápidas"
"030202010";"Cultivadores de brazos rígidos"
"030202020";"Cultivadores de brazos rígidos con muelles"
"030202030";"Cultivadores de brazos flexibles"
"030202040";"Cultivadores de brazos vibratorios"
"030203010";"Gradas ligeras de púas rígidas"
"030203020";"Gradas ligeras de púas flexibles"
"030203030";"Gradas ligeras alternativas"
"030203040";"Gradas ligeras de púas rotativas"
"030204000";"Rastras niveladoras"
"030205000";"Acaballonadoras y conformadoras"
"030206010";"Rodillos compuestos"
"030206020";"Rodillos lisos"
"030207000";"Máquinas combinadas de trabajo del suelo"
"030208000";"Arados de cohecho"
"030209000";"Gradas accionadas"
"030301000";"Desmalezadoras (escardadoras)"
"030302000";"Binadoras"
"030303000";"Arados aporcadores"
"030304000";"Arados desaporcadores"
"030305000";"Arados intercepas"
"030401000";"Desmenuzadores de suelo o desterronador"
"030402000";"Cribas de suelo"
"030403000";"Máquinas para preparar compost"
"030404000";"Mezcladoras de suelo (preparación del sustrato)"
"030405000";"Formadoras de cepellón (cepellonadoras)"
"030408000";"Máquinas combinadas para preparación de compost"
"030900000";"Otros equipos para trabajo del suelo"
"0310100_88";"Arados de desfonde"
"0310200_88";"Subsoladores"
"0310300_88";"Arados rotativos accionados"
"0310400_88";"Arados de reja y vertedera"
"0310500_88";"Arados de discos"
"0310600_88";"Cavadoras"
"0310700_88";"Arados de cincel (chisel)"
"0310800_88";"Rotocultores"
"0310900_88";"Arados rastrojeros"
"0311000_88";"Rodillos mezcladores y ruedas jaula"
"0320100_88";"Gradas de discos"
"0320200_88";"Cultivadores"
"0320300_88";"Gradas (ligeras)"
"0320400_88";"Rastras niveladoras"
"0320500_88";"Acaballonadoras"
"0320600_88";"Rodillos preparación lecho de siembra"
"0320700_88";"Máquinas combinadas de trabajo del suelo"
"0330100_88";"Escardadoras"
"0330200_88";"Binadoras"
"0330300_88";"Arados aporcadores"
"0330400_88";"Arados desaporcadores"
"0330500_88";"Arados intercepas"
"0340100_88";"Desmenuzadores de suelo para sustratos"
"0340200_88";"Cribas de suelo para preparación de sustratos"
"0340300_88";"Máquinas para preparar compost"
"0340400_88";"Mezcladoras de suelo para sustratos"
"0340500_88";"Formadoras de cepellón"
"0340700_88";"Máquinas para compactar macetas y cajas"
"0340800_88";"Máquinas combinadas para preparación de compost"
"0390000_88";"Otros equipos para trabajo del suelo"
"040101011";"Sembradoras a chorrillo mecánicas para siembra convencional"
"040101012";"Sembradoras a chorrillo neumáticas para siembra convencional"
"040101021";"Sembradoras a chorrillo mecánicas para siembra directa (rejas o discos)"
"040101022";"Sembradoras a chorrillo neumáticas para siembra directa (rejas o discos)"
"040101031";"Sembradoras a chorrillo mecánicas para mínimo laboreo (siembra semidirecta)"
"040101032";"Sembradoras a chorrillo neumáticas para mínimo laboreo (siembra semidirecta)"
"040102011";"Sembradoras monograno mecánicas para siembra convencional"
"040102012";"Sembradoras monograno neumáticas para siembra convencional"
"040102021";"Sembradoras monograno mecánicas para siembra directa (rejas o discos)"
"040102022";"Sembradoras monograno neumáticas para siembra directa (rejas o discos)"
"040102031";"Sembradoras monograno mecánicas para mínimo laboreo (siembra semidirecta)"
"040102032";"Sembradoras monograno neumáticas para mínimo laboreo (siembra semidirecta)"
"040103000";"Sembradoras a voleo"
"040104000";"Sembradoras de semillas en suspensión (fluido-sembradoras)"
"040105000";"Sembradoras combinadas"
"040201010";"Plantadoras de tubérculos de alimentación manual"
"040201020";"Plantadoras de tubérculos de alimentación mecánica"
"040202000";"Plantadoras de bulbos"
"040203000";"Plastiplantadoras"
"040204000";"Plantadoras polivalentes"
"040205000";"Otras plantadoras"
"040301010";"Trasplantadoras en línea de alimentación manual"
"040301020";"Trasplantadoras en línea de alimentación mecánica"
"040302000";"Trasplantadoras de árboles"
"040303000";"Plastitrasplantadoras"
"040304000";"Ahoyadoras"
"040401000";"Tolvas frontales de trasvase de semillas"
"040402000";"Tolvas frontales de dosificación de semillas"
"040900000";"Otros equipos para siembra y plantación"
"0410100_88";"Sembradoras en línea (chorrillo)"
"0410200_88";"Sembradoras a golpes (monograno)"
"0410210_88";"Sembradoras a golpes (monograno) mecánicas"
"0410220_88";"Sembradoras a golpes (monograno) neumáticas"
"0410300_88";"Sembradoras a voleo"
"0410400_88";"Fluido-sembradoras"
"0410500_88";"Sembradoras combinadas"
"0410600_88";"Plastisembradoras"
"0410700_88";"Sembradoras por siembra directa"
"0410800_88";"Sembradoras de mínimo laboreo"
"0420100_88";"Plantadoras de tubérculos"
"0420110_88";"Plantadoras de tubérculos de alimentación manual"
"0420120_88";"Plantadoras de tubérculos de alimentación mecánica"
"0420130_88";"Otras plantadoras"
"0420200_88";"Plantadoras de bulbos"
"0420300_88";"Plastiplantadoras"
"0430100_88";"Trasplantadoras en línea"
"0430110_88";"Trasplantadoras en línea de alimentación manual"
"0430120_88";"Trasplantadoras en línea de alimentación mecánica"
"0430200_88";"Trasplantadoras de árboles"
"0430300_88";"Plastitrasplantadoras"
"0490000_88";"Otras máquinas para siembra y plantación"
"050100000";"Máquinas para distribución de enmiendas"
"050201000";"Esparcidores de estiércol"
"050202000";"Desparramadores de estiércol amontonado"
"050203000";"Esparcidores de abonos orgánicos líquidos y semilíquidos"
"050203010";"Esparcidores de purines con distribución localizada por mangueras"
"050203020";"Esparcidores de purines con distribución localizada por rejas"
"050203030";"Esparcidores de purines con distribución localizada por discos"
"050204010";"Accesorio de distribución localizada de purines por mangueras"
"050204020";"Accesorio de distribución localizada de purines por rejas"
"050204030";"Accesorio de distribución localizada de purines por discos"
"050205000";"Esparcidores de estiércol sólido y semi-líquido"
"050206000";"Inyectores-localizadores de estiércol sólido"
"050207000";"Bombas para estiércol líquido"
"050208000";"Agitadores de estiércol líquido"
"050301011";"Abonadoras de caída por gravedad de superficie"
"050301012";"Abonadoras de caída por gravedad localizadoras"
"050301031";"Abonadora centrífuga de discos"
"050301032";"Abonadora pendular"
"050301041";"Abonadoras neumáticas de superficie"
"050301042";"Abonadoras neumáticas localizadoras"
"050303000";"Aplicadores de amoniaco anhidro"
"050304010";"Tolvas frontales de trasvase de abonos minerales"
"050304020";"Tolvas frontales de dosificación de abonos minerales"
"050402010";"Cañones"
"050402020";"Aspersión con desplazamiento continuo mecanizado durante el riego"
"050402030";"Aspersor de pivote central (pivot de riego)"
"050406000";"Motobombas para riego"
"050407000";"Bombas para elevación de agua"
"050900000";"Otros equipos para aporte de nutrientes y de agua"
"0510000_88";"Máquinas para distribución de enmiendas"
"0520100_88";"Esparcidores de estiércol"
"0520200_88";"Desparramadoras de estiércol amontonado"
"0520300_88";"Esparcidores de purines"
"0520310_88";"Esparcidor de purines distrib. Localizada por mangueras"
"0520320_88";"Esparcidor de purines distrib. Inyección por rejas"
"0520330_88";"Esparcidor de purines distrib. Inyección por discos"
"0520400_88";"Enterradores de purines"
"0520410_88";"Accesorio distrib. Localizada de purines por mangueras"
"0520420_88";"Accesorio distrib. De purines por inyección de rejas"
"0520430_88";"Accesorio distrib. De purines por inyección de discos"
"0520500_88";"Esparcidores de estiércol semilíquido"
"0530100_88";"Abonadoras"
"0530110_88";"Abonadoras (distribución por gravedad)"
"0530120_88";"Abonadoras localizadoras"
"0530130_88";"Abonadoras (distribución por proyección)"
"0530140_88";"Abonadoras neumáticas"
"0530200_88";"Distribuidores de abonos líquidos"
"0530300_88";"Aplicadores de amoniaco anhidro"
"0540100_88";"Equipos para riegos de superficie"
"0540200_88";"Equipos de riego por aspersión"
"0540400_88";"Nebulizadores"
"0590000_88";"Otros equipos para aporte de fertilizantes y agua"
"060101000";"Prepodadoras"
"060103011";"Tijeras de podar neumáticas"
"060103020";"Cortadoras de setos"
"060103040";"Hileradoras de residuos de poda"
"060104000";"Desplazadores de hojas (aspiradoras / sopladoras)"
"060202000";"Equipos antiheladas"
"060203000";"Equipos de lucha contra incendios"
"060301000";"Equipos para desinfección del suelo"
"060302000";"Equipos para desinfección de semillas"
"060303011";"Pulverizadores hidráulicos de barras horizontales"
"060303012";"Pulverizadores hidráulicos de barras verticales"
"060303013";"Pulverizadores hidráulicos de mochila"
"060303015";"Pulverizadores hidráulicos de alta presión"
"060303021";"Pulverizadores hidroneumáticos con colector y deflectores"
"060303022";"Pulverizadores hidroneumáticos con salidas de aire independientes"
"060303023";"Pulverizadores hidroneumáticos con salidas tipo cañón"
"060303031";"Pulverizadores neumáticos con salidas independientes"
"060303032";"Pulverizadores neumáticos con salidas tipo cañón"
"060303033";"Pulverizadores neumáticos con compresor"
"060303041";"Pulverizadores centrífugos de barras"
"060303042";"Pulverizadores centrífugos para aplicación en bandas"
"060303043";"Pulverizadores centrífugos con ventilador"
"060303044";"Pulverizadores centrífugos manuales"
"060303045";"Pulverizadores centrífugos para aeronaves"
"060303050";"Pulverizadores térmicos"
"060303060";"Pulverizadores electrodinámicos"
"060303070";"Humectadores"
"060303080";"Espolvoreadores"
"060303090";"Distribuidores de microgránulos"
"060305000";"Extendedores de redes (mallas)"
"060306000";"Distribuidores de repelentes"
"060401000";"Empalizadoras de viñedos"
"060403000";"Levantadoras de viña"
"060404000";"Clavadoras de postes"
"060406000";"Desbrotadora"
"060407000";"Despuntadora"
"060501000";"Esparcidores de residuos (paja)"
"060502000";"Desenrolladores de láminas de plástico"
"060701000";"Marcadores"
"060702000";"Bombas de pistón"
"060703000";"Bombas de membrana"
"060900000";"Otros equipos para cuidado y protección de plantas"
"060901000";"Raspadores de troncos"
"0610100_88";"Recortadoras"
"0610200_88";"Material para injertar"
"0610300_88";"Material de poda"
"0610310_88";"Tijeras de podar"
"0610320_88";"Cortadoras de setos"
"0610330_88";"Prepodadoras"
"0610340_88";"Trituradoras de residuos de cosecha y poda"
"0610350_88";"Castradores"
"0610360_88";"Electrocutores para remolacha subida"
"0610370_88";"Quemadores de residuos vegetales"
"0610400_88";"Desplazadores de hojas (aspiradoras / sopladoras)"
"0620100_88";"Equipos antigranizo"
"0620200_88";"Equipos antiheladas"
"0620300_88";"Equipos de lucha contra incendios"
"0630100_88";"Desinfectadoras del suelo"
"0630200_88";"Desinfectadoras de semillas"
"0630300_88";"Aplicadores de productos fitosanitarios"
"0630310_88";"Pulverizadores hidráulicos"
"0630311_88";"Pulverizadores hidráulicos de carretilla (ar. Manual)"
