"Código SIEX";"Descripción";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Boro (B)";13/04/2023;02/01/2025;
"2";"Cobalto (Co)";13/04/2023;;
"3";"Cobre (Cu)";13/04/2023;;
"4";"Manganeso (Mn)";13/04/2023;;
"5";"Molibdeno (Mo)";13/04/2023;;
"6";"Zinc (Zn)";13/04/2023;;
"7";"Hierro (Fe)";13/04/2023;;
